actual,predicted,verdict,risk_per_msg,command,progress
SCAM,SCAM,SCAM,1.46,EXTRACT,2/8
SCAM,SCAM,SCAM,1.74,EXTRACT,3/11
SCAM,SCAM,SCAM,3.07,EXTRACT,4/14
NO_SCAM,NO_SCAM,NO_SCAM,1.57,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.63,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.03,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,3.09,ENGAGE,3/5
NO_SCAM,NO_SCAM,NO_SCAM,1.27,ENGAGE,4/5
SCAM,SCAM,SCAM,1.64,EXTRACT,5/8
SCAM,SCAM,SCAM,1.33,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.71,EXTRACT,2/8
SCAM,SCAM,SCAM,2.2,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,2.43,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,2.23,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.66,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.69,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.38,ENGAGE,3/5
SCAM,SCAM,SCAM,1.62,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,2.34,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.65,ENGAGE,1/5
SCAM,SCAM,SCAM,1.15,EXTRACT,2/8
SCAM,SCAM,SCAM,2.06,EXTRACT,3/11
SCAM,SCAM,SCAM,1.97,EXTRACT,4/14
SCAM,SCAM,SCAM,2.45,EXTRACT,5/17
SCAM,SCAM,SCAM,1.35,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.09,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.54,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.36,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.36,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.52,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.68,ENGAGE,2/5
SCAM,SCAM,SCAM,1.46,EXTRACT,3/8
SCAM,SCAM,SCAM,1.71,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.66,EXTRACT,5/11
SCAM,SCAM,SCAM,1.77,EXTRACT,1/8
SCAM,SCAM,SCAM,1.76,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,1.68,EXTRACT,3/11
SCAM,SCAM,SCAM,2.0,EXTRACT,4/14
SCAM,SCAM,SCAM,1.64,EXTRACT,5/17
SCAM,SCAM,SCAM,1.68,EXTRACT,1/8
SCAM,SCAM,SCAM,1.15,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,1.91,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,2.6,EXTRACT,4/11
SCAM,SCAM,SCAM,1.75,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,2.84,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.63,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,2.0,ENGAGE,3/5
NO_SCAM,NO_SCAM,NO_SCAM,1.97,ENGAGE,4/5
NO_SCAM,NO_SCAM,NO_SCAM,1.43,ENGAGE,5/5
NO_SCAM,NO_SCAM,NO_SCAM,1.91,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.71,ENGAGE,2/5
SCAM,SCAM,SCAM,1.54,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.03,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.62,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,2.05,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.27,ENGAGE,2/5
SCAM,SCAM,SCAM,1.36,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.92,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.78,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,3.57,ENGAGE,1/5
SCAM,SCAM,SCAM,1.27,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.73,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.56,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.06,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.59,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.3,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,2.03,ENGAGE,3/5
NO_SCAM,NO_SCAM,NO_SCAM,1.72,ENGAGE,4/5
NO_SCAM,NO_SCAM,NO_SCAM,1.92,ENGAGE,5/5
NO_SCAM,NO_SCAM,NO_SCAM,1.64,ENGAGE,1/5
SCAM,SCAM,SCAM,1.53,EXTRACT,2/8
SCAM,SCAM,SCAM,2.08,EXTRACT,3/11
SCAM,SCAM,SCAM,1.41,EXTRACT,4/14
NO_SCAM,NO_SCAM,NO_SCAM,1.53,EXTRACT,5/14
SCAM,SCAM,SCAM,1.63,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,2.0,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,2.79,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.18,EXTRACT,4/8
SCAM,SCAM,SCAM,2.26,EXTRACT,5/11
SCAM,SCAM,SCAM,1.32,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.18,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.34,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,2.05,EXTRACT,4/8
SCAM,SCAM,SCAM,1.62,EXTRACT,5/11
SCAM,SCAM,SCAM,1.11,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.09,EXTRACT,2/8
SCAM,SCAM,SCAM,1.56,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.6,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,2.49,EXTRACT,5/11
SCAM,SCAM,SCAM,1.48,EXTRACT,1/8
SCAM,SCAM,SCAM,1.87,EXTRACT,2/11
SCAM,SCAM,SCAM,2.46,EXTRACT,3/14
NO_SCAM,NO_SCAM,NO_SCAM,1.57,EXTRACT,4/14
SCAM,SCAM,SCAM,1.31,EXTRACT,5/17
SCAM,SCAM,SCAM,1.72,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,2.2,EXTRACT,2/8
SCAM,SCAM,SCAM,2.21,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.0,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,2.22,EXTRACT,5/11
SCAM,SCAM,SCAM,2.66,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.63,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.68,EXTRACT,3/8
SCAM,SCAM,SCAM,10.0,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.5,EXTRACT,5/11
SCAM,SCAM,SCAM,1.66,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,2.03,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,2.07,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,2.58,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.45,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,3.12,ENGAGE,1/5
SCAM,SCAM,SCAM,1.46,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.8,EXTRACT,3/8
SCAM,SCAM,SCAM,1.9,EXTRACT,4/11
SCAM,SCAM,SCAM,1.52,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,2.22,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,2.28,ENGAGE,2/5
SCAM,SCAM,SCAM,3.21,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.43,EXTRACT,4/8
SCAM,SCAM,SCAM,2.05,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.45,ENGAGE,1/5
SCAM,SCAM,SCAM,1.06,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.46,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.73,EXTRACT,4/8
SCAM,SCAM,SCAM,1.92,EXTRACT,5/11
SCAM,SCAM,SCAM,1.85,EXTRACT,1/8
SCAM,SCAM,SCAM,1.85,EXTRACT,2/11
SCAM,SCAM,SCAM,1.05,EXTRACT,3/14
NO_SCAM,NO_SCAM,NO_SCAM,1.27,EXTRACT,4/14
SCAM,SCAM,SCAM,1.0,EXTRACT,5/17
SCAM,SCAM,SCAM,1.0,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.76,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.0,EXTRACT,3/8
SCAM,SCAM,SCAM,1.48,EXTRACT,4/11
SCAM,SCAM,SCAM,2.25,EXTRACT,5/14
SCAM,SCAM,SCAM,1.44,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.31,EXTRACT,2/8
SCAM,SCAM,SCAM,2.14,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.91,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.69,EXTRACT,5/11
SCAM,SCAM,SCAM,1.35,EXTRACT,1/8
SCAM,SCAM,SCAM,1.12,EXTRACT,2/11
SCAM,SCAM,SCAM,2.61,EXTRACT,3/14
NO_SCAM,NO_SCAM,NO_SCAM,2.87,EXTRACT,4/14
SCAM,SCAM,SCAM,1.19,EXTRACT,5/17
SCAM,SCAM,SCAM,1.63,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,2.07,EXTRACT,2/8
SCAM,SCAM,SCAM,1.49,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.74,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.55,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.41,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.51,ENGAGE,2/5
SCAM,SCAM,SCAM,2.07,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.0,EXTRACT,4/8
SCAM,SCAM,SCAM,1.09,EXTRACT,5/11
SCAM,SCAM,SCAM,1.89,EXTRACT,1/8
SCAM,SCAM,SCAM,1.99,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,1.44,EXTRACT,3/11
SCAM,SCAM,SCAM,1.53,EXTRACT,4/14
NO_SCAM,NO_SCAM,NO_SCAM,1.33,EXTRACT,5/14
SCAM,SCAM,SCAM,2.14,EXTRACT,1/8
SCAM,SCAM,SCAM,1.21,EXTRACT,2/11
SCAM,SCAM,SCAM,1.34,EXTRACT,3/14
NO_SCAM,NO_SCAM,NO_SCAM,1.29,EXTRACT,4/14
NO_SCAM,NO_SCAM,NO_SCAM,1.31,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.59,ENGAGE,1/5
SCAM,SCAM,SCAM,1.3,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.83,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.49,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.8,EXTRACT,5/8
SCAM,SCAM,SCAM,1.37,EXTRACT,1/8
SCAM,SCAM,SCAM,1.37,EXTRACT,2/11
SCAM,SCAM,SCAM,2.2,EXTRACT,3/14
NO_SCAM,NO_SCAM,NO_SCAM,2.08,EXTRACT,4/14
SCAM,SCAM,SCAM,1.65,EXTRACT,5/17
NO_SCAM,NO_SCAM,NO_SCAM,1.48,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.39,ENGAGE,2/5
SCAM,SCAM,SCAM,1.79,EXTRACT,3/8
SCAM,SCAM,SCAM,1.67,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.94,EXTRACT,5/11
SCAM,SCAM,SCAM,1.68,EXTRACT,1/8
SCAM,SCAM,SCAM,1.07,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,1.31,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.8,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.0,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.26,ENGAGE,1/5
SCAM,SCAM,SCAM,1.58,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.85,EXTRACT,3/8
SCAM,SCAM,SCAM,1.45,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.58,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.09,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,2.16,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.61,ENGAGE,3/5
NO_SCAM,NO_SCAM,NO_SCAM,1.22,ENGAGE,4/5
SCAM,SCAM,SCAM,1.71,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.04,ENGAGE,1/5
SCAM,SCAM,SCAM,2.64,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.54,EXTRACT,3/8
SCAM,SCAM,SCAM,1.61,EXTRACT,4/11
SCAM,SCAM,SCAM,2.54,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.76,ENGAGE,1/5
SCAM,SCAM,SCAM,1.13,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.71,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,3.7,EXTRACT,4/8
SCAM,SCAM,SCAM,1.84,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.09,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.06,ENGAGE,2/5
SCAM,SCAM,SCAM,1.68,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,2.73,EXTRACT,4/8
SCAM,SCAM,SCAM,2.0,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.06,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.98,ENGAGE,2/5
SCAM,SCAM,SCAM,1.17,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.58,EXTRACT,4/8
SCAM,SCAM,SCAM,2.05,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.44,ENGAGE,1/5
SCAM,SCAM,SCAM,1.48,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.5,EXTRACT,3/8
SCAM,SCAM,SCAM,2.2,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.85,EXTRACT,5/11
SCAM,SCAM,SCAM,1.64,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.66,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.06,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.41,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.75,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.7,ENGAGE,1/5
SCAM,SCAM,SCAM,1.04,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.8,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.86,EXTRACT,4/8
SCAM,SCAM,SCAM,1.54,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,3.99,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.61,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.36,ENGAGE,3/5
SCAM,SCAM,SCAM,1.89,EXTRACT,4/8
SCAM,SCAM,SCAM,1.0,EXTRACT,5/11
SCAM,SCAM,SCAM,1.03,EXTRACT,1/8
SCAM,SCAM,SCAM,2.1,EXTRACT,2/11
SCAM,SCAM,SCAM,2.36,EXTRACT,3/14
NO_SCAM,NO_SCAM,NO_SCAM,1.43,EXTRACT,4/14
NO_SCAM,NO_SCAM,NO_SCAM,1.78,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.32,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,3.52,ENGAGE,2/5
SCAM,SCAM,SCAM,1.54,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.89,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,4.51,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.03,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.29,ENGAGE,2/5
SCAM,SCAM,SCAM,1.93,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.83,EXTRACT,4/8
SCAM,SCAM,SCAM,1.96,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.43,ENGAGE,1/5
SCAM,SCAM,SCAM,1.43,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.69,EXTRACT,3/8
SCAM,SCAM,SCAM,1.65,EXTRACT,4/11
SCAM,SCAM,SCAM,1.54,EXTRACT,5/14
SCAM,SCAM,SCAM,1.18,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.5,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.99,EXTRACT,3/8
SCAM,SCAM,SCAM,1.8,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.63,EXTRACT,5/11
SCAM,SCAM,SCAM,1.53,EXTRACT,1/8
SCAM,SCAM,SCAM,1.3,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,1.83,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.8,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,2.37,EXTRACT,5/11
SCAM,SCAM,SCAM,1.77,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,4.11,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.69,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,2.58,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,3.13,EXTRACT,5/8
SCAM,SCAM,SCAM,1.68,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.41,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.95,EXTRACT,3/8
SCAM,SCAM,SCAM,1.69,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.88,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.0,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,2.94,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.73,ENGAGE,3/5
SCAM,SCAM,SCAM,1.43,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,2.01,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,2.31,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,3.02,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.78,ENGAGE,3/5
NO_SCAM,NO_SCAM,NO_SCAM,1.86,ENGAGE,4/5
SCAM,SCAM,SCAM,2.36,EXTRACT,5/8
SCAM,SCAM,SCAM,1.74,EXTRACT,1/8
SCAM,SCAM,SCAM,1.55,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,2.14,EXTRACT,3/11
SCAM,SCAM,SCAM,1.83,EXTRACT,4/14
NO_SCAM,NO_SCAM,NO_SCAM,1.04,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.82,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,2.1,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.86,ENGAGE,3/5
NO_SCAM,NO_SCAM,NO_SCAM,1.84,ENGAGE,4/5
NO_SCAM,NO_SCAM,NO_SCAM,1.2,ENGAGE,5/5
SCAM,SCAM,SCAM,1.34,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,4.18,EXTRACT,2/8
SCAM,SCAM,SCAM,1.12,EXTRACT,3/11
SCAM,SCAM,SCAM,1.83,EXTRACT,4/14
SCAM,SCAM,SCAM,1.4,EXTRACT,5/17
SCAM,SCAM,SCAM,2.04,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,3.1,EXTRACT,2/8
SCAM,SCAM,SCAM,1.72,EXTRACT,3/11
SCAM,SCAM,SCAM,1.87,EXTRACT,4/14
NO_SCAM,NO_SCAM,NO_SCAM,1.27,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.8,ENGAGE,1/5
SCAM,SCAM,SCAM,1.93,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,3.0,EXTRACT,3/8
SCAM,SCAM,SCAM,1.93,EXTRACT,4/11
SCAM,SCAM,SCAM,2.12,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.06,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.38,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.53,ENGAGE,3/5
SCAM,SCAM,SCAM,1.03,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.74,EXTRACT,5/8
SCAM,SCAM,SCAM,1.04,EXTRACT,1/8
SCAM,SCAM,SCAM,2.24,EXTRACT,2/11
SCAM,SCAM,SCAM,1.67,EXTRACT,3/14
SCAM,SCAM,SCAM,1.83,EXTRACT,4/17
SCAM,SCAM,SCAM,2.6,EXTRACT,5/18
NO_SCAM,NO_SCAM,NO_SCAM,2.23,ENGAGE,1/5
SCAM,SCAM,SCAM,1.25,EXTRACT,2/8
SCAM,SCAM,SCAM,1.57,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,2.57,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.0,EXTRACT,5/11
SCAM,SCAM,SCAM,2.16,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.36,EXTRACT,2/8
SCAM,SCAM,SCAM,1.66,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,4.0,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.18,EXTRACT,5/11
SCAM,SCAM,SCAM,2.23,EXTRACT,1/8
SCAM,SCAM,SCAM,1.36,EXTRACT,2/11
SCAM,SCAM,SCAM,2.32,EXTRACT,3/14
SCAM,SCAM,SCAM,1.81,EXTRACT,4/17
NO_SCAM,NO_SCAM,NO_SCAM,1.58,EXTRACT,5/17
NO_SCAM,NO_SCAM,NO_SCAM,1.53,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,1.59,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.98,ENGAGE,3/5
SCAM,SCAM,SCAM,2.17,EXTRACT,4/8
SCAM,SCAM,SCAM,2.09,EXTRACT,5/11
SCAM,SCAM,SCAM,1.36,EXTRACT,1/8
SCAM,SCAM,SCAM,1.09,EXTRACT,2/11
NO_SCAM,NO_SCAM,NO_SCAM,1.0,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.0,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,2.33,EXTRACT,5/11
SCAM,SCAM,SCAM,1.51,EXTRACT,1/8
SCAM,SCAM,SCAM,1.77,EXTRACT,2/11
SCAM,SCAM,SCAM,1.0,EXTRACT,3/14
NO_SCAM,NO_SCAM,NO_SCAM,1.33,EXTRACT,4/14
NO_SCAM,NO_SCAM,NO_SCAM,1.83,EXTRACT,5/14
NO_SCAM,NO_SCAM,NO_SCAM,1.13,ENGAGE,1/5
SCAM,SCAM,SCAM,1.92,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.74,EXTRACT,3/8
SCAM,SCAM,SCAM,1.62,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,2.27,EXTRACT,5/11
NO_SCAM,NO_SCAM,NO_SCAM,1.52,ENGAGE,1/5
SCAM,SCAM,SCAM,2.77,EXTRACT,2/8
SCAM,SCAM,SCAM,1.63,EXTRACT,3/11
NO_SCAM,NO_SCAM,NO_SCAM,1.0,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.74,EXTRACT,5/11
SCAM,SCAM,SCAM,1.47,EXTRACT,1/8
SCAM,SCAM,SCAM,2.12,EXTRACT,2/11
SCAM,SCAM,SCAM,1.39,EXTRACT,3/14
NO_SCAM,NO_SCAM,NO_SCAM,2.16,EXTRACT,4/14
SCAM,SCAM,SCAM,1.75,EXTRACT,5/17
SCAM,SCAM,SCAM,2.13,EXTRACT,1/8
SCAM,SCAM,SCAM,1.95,EXTRACT,2/11
SCAM,SCAM,SCAM,2.39,EXTRACT,3/14
SCAM,SCAM,SCAM,1.81,EXTRACT,4/17
SCAM,SCAM,SCAM,1.3,EXTRACT,5/18
NO_SCAM,NO_SCAM,NO_SCAM,1.57,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,2.12,ENGAGE,2/5
NO_SCAM,NO_SCAM,NO_SCAM,1.88,ENGAGE,3/5
SCAM,SCAM,SCAM,1.4,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.28,EXTRACT,5/8
NO_SCAM,NO_SCAM,NO_SCAM,1.15,ENGAGE,1/5
NO_SCAM,NO_SCAM,NO_SCAM,2.5,ENGAGE,2/5
SCAM,SCAM,SCAM,1.72,EXTRACT,3/8
SCAM,SCAM,SCAM,3.02,EXTRACT,4/11
NO_SCAM,NO_SCAM,NO_SCAM,1.45,EXTRACT,5/11
SCAM,SCAM,SCAM,1.41,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.58,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.75,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,3.52,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,2.02,EXTRACT,5/8
SCAM,SCAM,SCAM,1.71,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.18,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.45,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.89,EXTRACT,4/8
NO_SCAM,NO_SCAM,NO_SCAM,1.54,EXTRACT,5/8
SCAM,SCAM,SCAM,1.33,EXTRACT,1/8
SCAM,SCAM,SCAM,1.78,EXTRACT,2/11
SCAM,SCAM,SCAM,1.04,EXTRACT,3/14
SCAM,SCAM,SCAM,1.9,EXTRACT,4/17
SCAM,SCAM,SCAM,1.27,EXTRACT,5/18
SCAM,SCAM,SCAM,1.88,EXTRACT,1/8
NO_SCAM,NO_SCAM,NO_SCAM,1.75,EXTRACT,2/8
NO_SCAM,NO_SCAM,NO_SCAM,1.76,EXTRACT,3/8
NO_SCAM,NO_SCAM,NO_SCAM,1.54,EXTRACT,4/8
