keyword,risk_score,personality_distribution
she,0.1,"anxious (39%), confused (18%), skeptical (13%)"
explain,0.1,"confused (58%), aggressive (13%), anxious (11%)"
feel,0.1,"greedy (31%), anxious (30%), confused (18%)"
else,0.1,"greedy (30%), anxious (25%), trusting (14%)"
afraid,0.1,"confused (30%), anxious (21%), polite (13%)"
steps,0.1,"confused (18%), anxious (15%), distracted (14%)"
done,0.1,"confused (23%), trusting (18%), anxious (15%)"
remember,0.1,"confused (42%), trusting (22%), anxious (19%)"
those,0.1,"confused (45%), greedy (24%), anxious (8%)"
immediate,0.1,"anxious (19%), aggressive (15%), confused (15%)"
too,0.1,"anxious (30%), trusting (18%), confused (13%)"
step,0.1,"confused (37%), anxious (30%), trusting (15%)"
making,0.1,"greedy (40%), anxious (20%), skeptical (14%)"
flagged,0.1,"anxious (16%), skeptical (15%), aggressive (14%)"
agreement,0.1,"greedy (87%), aggressive (4%), anxious (3%)"
online,0.1,"greedy (30%), skeptical (19%), confused (15%)"
lose,0.1,"anxious (50%), confused (28%), skeptical (7%)"
ask,0.1,"anxious (23%), greedy (23%), confused (15%)"
finalize,0.1,"greedy (53%), trusting (18%), confused (14%)"
caution,0.1,"polite (33%), skeptical (23%), anxious (22%)"
within,0.1,"greedy (48%), trusting (18%), confused (9%)"
business,0.1,"greedy (40%), confused (15%), anxious (14%)"
routing,0.1,"greedy (34%), trusting (27%), confused (18%)"
walk,0.1,"confused (27%), anxious (18%), skeptical (13%)"
available,0.1,"greedy (51%), anxious (11%), confused (11%)"
stay,0.1,"confused (35%), anxious (31%), trusting (10%)"
damage,0.1,"anxious (22%), confused (15%), greedy (13%)"
loss,0.1,"confused (19%), distracted (17%), aggressive (14%)"
severe,0.1,"anxious (22%), confused (18%), distracted (16%)"
suspended,0.1,"confused (22%), anxious (19%), distracted (13%)"
ssa,0.1,"polite (21%), skeptical (21%), anxious (20%)"
laptop,0.1,"anxious (41%), trusting (24%), greedy (21%)"
trust,0.1,"confused (52%), anxious (21%), greedy (7%)"
safe,0.1,"confused (42%), anxious (28%), trusting (12%)"
amount,0.1,"greedy (36%), confused (20%), distracted (12%)"
minutes,0.1,"greedy (25%), anxious (18%), distracted (18%)"
case,0.1,"greedy (19%), polite (18%), skeptical (18%)"
transfer,0.1,"greedy (29%), trusting (29%), anxious (21%)"
situation,0.1,"anxious (19%), polite (18%), aggressive (16%)"
using,0.1,"greedy (24%), trusting (17%), anxious (16%)"
sensitive,0.1,"anxious (29%), polite (17%), greedy (16%)"
happy,0.1,"greedy (35%), confused (19%), polite (16%)"
discuss,0.1,"greedy (45%), polite (18%), trusting (9%)"
doing,0.1,"anxious (28%), confused (27%), greedy (14%)"
must,0.1,"polite (24%), skeptical (20%), greedy (18%)"
full,0.1,"greedy (29%), trusting (16%), anxious (16%)"
look,0.1,"distracted (51%), confused (16%), greedy (12%)"
infected,0.1,"aggressive (19%), trusting (17%), confused (14%)"
microsoft,0.1,"polite (30%), skeptical (30%), aggressive (15%)"
very,0.1,"confused (27%), anxious (21%), greedy (20%)"
legal,0.1,"anxious (20%), polite (15%), confused (15%)"
download,0.1,"trusting (31%), confused (26%), distracted (18%)"
remote,0.1,"anxious (25%), trusting (20%), confused (19%)"
windows,0.1,"confused (29%), trusting (22%), distracted (21%)"
techshield,0.1,"polite (17%), greedy (15%), skeptical (13%)"
use,0.1,"greedy (39%), trusting (19%), confused (15%)"
then,0.1,"confused (34%), anxious (17%), trusting (12%)"
quick,0.1,"distracted (38%), greedy (21%), trusting (12%)"
maybe,0.1,"greedy (82%), confused (9%), anxious (7%)"
better,0.1,"greedy (45%), confused (26%), anxious (11%)"
possible,0.1,"greedy (40%), anxious (14%), confused (14%)"
made,0.1,"confused (26%), polite (18%), anxious (17%)"
solutions,0.1,"confused (15%), anxious (14%), greedy (14%)"
customers,0.1,"confused (21%), greedy (20%), anxious (19%)"
they,0.1,"anxious (25%), greedy (22%), skeptical (16%)"
down,0.1,"greedy (31%), confused (29%), anxious (11%)"
did,0.1,"skeptical (32%), confused (28%), aggressive (22%)"
variables,0,trusting (100%)
horse,0,"confused (88%), polite (12%)"
trojan,0,"confused (56%), polite (22%), trusting (22%)"
settings,0,"confused (40%), trusting (40%), greedy (20%)"
clicking,0,"confused (60%), trusting (40%)"
connecting,0,"trusting (60%), confused (20%), distracted (20%)"
initially,0,"distracted (33%), trusting (33%), confused (17%)"
panel,0,"confused (62%), distracted (31%), trusting (8%)"
pressing,0,"trusting (43%), confused (29%), distracted (29%)"
laptops,0,"trusting (60%), anxious (20%), distracted (20%)"
knowledge,0,"anxious (60%), polite (40%)"
web,0,"confused (44%), anxious (22%), trusting (22%)"
aggressive,0,"distracted (33%), anxious (17%), confused (17%)"
tests,0,"anxious (56%), confused (22%), trusting (17%)"
messages,0,"confused (28%), distracted (28%), trusting (24%)"
typed,0,"confused (71%), anxious (14%), distracted (14%)"
symbol,0,"distracted (67%), anxious (17%), confused (17%)"
broken,0,confused (100%)
teamviewer,0,"confused (42%), trusting (30%), distracted (14%)"
doctor,0,confused (100%)
turn,0,"confused (79%), greedy (7%), skeptical (7%)"
search,0,"confused (60%), trusting (40%)"
bar,0,"confused (67%), trusting (33%)"
built,0,"confused (56%), distracted (33%), trusting (11%)"
authenticity,0,"polite (30%), anxious (21%), aggressive (19%)"
blue,0,"aggressive (54%), skeptical (46%)"
letter,0,"greedy (29%), anxious (25%), confused (15%)"
representative,0,"confused (31%), anxious (23%), greedy (12%)"
telling,0,"anxious (30%), aggressive (19%), greedy (19%)"
jenkins,0,"greedy (22%), anxious (20%), trusting (14%)"
resolved,0,"anxious (24%), confused (20%), trusting (15%)"
seems,0,"confused (26%), greedy (22%), anxious (15%)"
end,0,"greedy (31%), anxious (18%), confused (17%)"
greentech,0,"confused (44%), aggressive (22%), skeptical (22%)"
march,0,"distracted (32%), trusting (27%), greedy (18%)"
upgrade,0,"greedy (95%), aggressive (2%), skeptical (2%)"
month,0,"greedy (56%), confused (24%), skeptical (12%)"
glitch,0,"confused (27%), aggressive (18%), anxious (18%)"
were,0,"confused (31%), greedy (19%), polite (15%)"
correctly,0,"confused (23%), greedy (22%), anxious (19%)"
gone,0,"anxious (25%), greedy (21%), confused (17%)"
forever,0,"anxious (33%), aggressive (25%), skeptical (17%)"
refuse,0,"aggressive (67%), skeptical (11%), greedy (7%)"
close,0,"greedy (31%), anxious (29%), confused (16%)"
caused,0,"aggressive (23%), greedy (20%), skeptical (20%)"
responsibility,0,"anxious (64%), confused (18%), aggressive (9%)"
systems,0,"confused (35%), skeptical (15%), aggressive (12%)"
show,0,"confused (25%), aggressive (22%), anxious (15%)"
alleviate,0,"aggressive (60%), anxious (20%), skeptical (20%)"
transferring,0,"distracted (33%), greedy (20%), trusting (20%)"
recently,0,"polite (29%), aggressive (14%), skeptical (14%)"
audit,0,"greedy (36%), skeptical (27%), aggressive (18%)"
obligated,0,"confused (33%), greedy (33%), aggressive (17%)"
facilitate,0,"greedy (30%), polite (14%), trusting (14%)"
asking,0,"aggressive (21%), polite (21%), skeptical (19%)"
scare,0,"aggressive (74%), skeptical (14%), anxious (6%)"
charged,0,"greedy (33%), confused (28%), aggressive (11%)"
twice,0,"confused (43%), skeptical (29%), aggressive (14%)"
recall,0,"skeptical (53%), polite (25%), aggressive (15%)"
simple,0,"confused (43%), aggressive (18%), skeptical (13%)"
writing,0,"greedy (45%), aggressive (21%), confused (16%)"
requires,0,"anxious (30%), greedy (17%), distracted (13%)"
verbal,0,"anxious (29%), greedy (29%), aggressive (14%)"
mail,0,"anxious (25%), skeptical (24%), aggressive (14%)"
weeks,0,"aggressive (17%), greedy (15%), polite (15%)"
days,0,"greedy (45%), confused (15%), polite (12%)"
compromise,0,"anxious (27%), polite (20%), skeptical (12%)"
though,0,"distracted (22%), greedy (17%), polite (17%)"
listening,0,"aggressive (44%), anxious (31%), skeptical (19%)"
taking,0,"anxious (21%), greedy (18%), skeptical (15%)"
escalate,0,"aggressive (28%), polite (16%), anxious (15%)"
honest,0,"anxious (29%), greedy (29%), confused (17%)"
handles,0,"confused (43%), skeptical (43%), aggressive (7%)"
transactions,0,"greedy (32%), confused (16%), skeptical (16%)"
various,0,"confused (35%), skeptical (30%), aggressive (15%)"
said,0,"confused (48%), greedy (18%), anxious (16%)"
period,0,"aggressive (41%), greedy (35%), anxious (12%)"
bully,0,aggressive (100%)
review,0,"greedy (67%), polite (17%), anxious (10%)"
final,0,"confused (38%), greedy (21%), trusting (17%)"
decision,0,"greedy (35%), confused (23%), anxious (16%)"
bring,0,"greedy (54%), aggressive (15%), anxious (12%)"
had,0,"skeptical (15%), trusting (15%), anxious (14%)"
enough,0,"greedy (36%), aggressive (21%), skeptical (18%)"
according,0,"polite (38%), skeptical (24%), aggressive (14%)"
january,0,"skeptical (50%), aggressive (33%), polite (17%)"
subscription,0,"greedy (68%), confused (17%), polite (6%)"
accidentally,0,"anxious (43%), confused (29%), aggressive (7%)"
previous,0,"aggressive (23%), confused (23%), skeptical (23%)"
michael,0,"greedy (41%), polite (18%), aggressive (16%)"
sharing,0,"polite (57%), greedy (28%), skeptical (5%)"
several,0,"aggressive (23%), skeptical (19%), confused (15%)"
forfeiting,0,"aggressive (35%), anxious (22%), skeptical (22%)"
ref,0,"anxious (33%), aggressive (22%), polite (22%)"
rightfully,0,"anxious (50%), confused (30%), aggressive (20%)"
gotten,0,"aggressive (44%), greedy (22%), confused (11%)"
locate,0,"polite (67%), aggressive (17%), skeptical (17%)"
cancelled,0,"anxious (31%), confused (22%), skeptical (13%)"
having,0,"greedy (31%), confused (21%), anxious (17%)"
sent,0,"greedy (29%), confused (24%), anxious (15%)"
notification,0,"anxious (25%), polite (21%), skeptical (12%)"
earlier,0,"greedy (38%), confused (17%), anxious (17%)"
confirmed,0,"trusting (34%), confused (18%), greedy (18%)"
anyway,0,"aggressive (40%), confused (30%), polite (10%)"
excellent,0,"trusting (39%), confused (24%), greedy (24%)"
payments,0,"greedy (52%), confused (15%), anxious (15%)"
numbers,0,"confused (46%), greedy (20%), anxious (12%)"
additionally,0,"greedy (42%), polite (22%), anxious (16%)"
handling,0,"confused (41%), polite (17%), greedy (14%)"
attention,0,"anxious (50%), polite (17%), aggressive (8%)"
expire,0,"confused (28%), greedy (28%), anxious (17%)"
late,0,"anxious (27%), skeptical (23%), polite (19%)"
rush,0,"anxious (27%), skeptical (27%), aggressive (9%)"
global,0,"greedy (33%), polite (33%), trusting (13%)"
tech,0,"polite (25%), anxious (19%), greedy (18%)"
speaking,0,"greedy (66%), anxious (10%), polite (10%)"
accounting,0,"polite (23%), aggressive (15%), confused (15%)"
sir,0,"aggressive (28%), anxious (24%), greedy (18%)"
automatically,0,"skeptical (26%), confused (21%), anxious (15%)"
following,0,"greedy (36%), confused (27%), trusting (18%)"
hard,0,"greedy (56%), aggressive (31%), anxious (6%)"
moment,0,"anxious (22%), greedy (18%), polite (16%)"
detail,0,"anxious (29%), aggressive (24%), confused (19%)"
whatever,0,"distracted (50%), anxious (38%), aggressive (6%)"
easily,0,"aggressive (33%), confused (25%), skeptical (17%)"
proof,0,"aggressive (71%), greedy (10%), skeptical (10%)"
screen,0,"confused (51%), anxious (20%), trusting (14%)"
issued,0,"trusting (47%), anxious (18%), aggressive (12%)"
required,0,"confused (40%), greedy (18%), aggressive (10%)"
law,0,"anxious (33%), confused (24%), aggressive (19%)"
notify,0,"confused (27%), aggressive (20%), anxious (13%)"
taken,0,"greedy (31%), anxious (24%), confused (20%)"
note,0,"polite (27%), trusting (17%), skeptical (15%)"
threaten,0,"aggressive (86%), skeptical (14%)"
job,0,"confused (39%), trusting (32%), aggressive (13%)"
contracted,0,"skeptical (41%), aggressive (29%), confused (18%)"
expect,0,"greedy (59%), aggressive (13%), trusting (13%)"
emphasize,0,"greedy (62%), aggressive (25%), anxious (12%)"
lost,0,"aggressive (38%), anxious (23%), skeptical (15%)"
fact,0,"greedy (60%), anxious (17%), confused (12%)"
myself,0,"skeptical (41%), polite (13%), anxious (11%)"
davis,0,"trusting (26%), anxious (21%), skeptical (19%)"
his,0,"greedy (36%), anxious (27%), aggressive (18%)"
experiencing,0,"skeptical (24%), aggressive (14%), trusting (14%)"
high,0,"greedy (24%), anxious (18%), distracted (17%)"
status,0,"greedy (60%), anxious (10%), polite (10%)"
bother,0,"aggressive (57%), anxious (43%)"
keep,0,"greedy (47%), trusting (23%), anxious (14%)"
respond,0,"skeptical (44%), aggressive (22%), anxious (11%)"
yours,0,"anxious (31%), confused (31%), greedy (20%)"
selling,0,"aggressive (67%), greedy (13%), skeptical (13%)"
pushing,0,"aggressive (56%), greedy (31%), anxious (6%)"
threat,0,"skeptical (25%), polite (21%), distracted (18%)"
accounts,0,"confused (20%), anxious (18%), skeptical (14%)"
management,0,"trusting (25%), greedy (25%), aggressive (12%)"
united,0,"aggressive (32%), confused (24%), polite (20%)"
billing,0,"greedy (17%), skeptical (17%), aggressive (14%)"
born,0,"aggressive (75%), trusting (12%), greedy (9%)"
yesterday,0,"aggressive (96%), greedy (4%)"
steal,0,"anxious (61%), confused (28%), aggressive (8%)"
wouldn,0,"anxious (24%), aggressive (16%), confused (16%)"
goodness,0,"aggressive (29%), confused (29%), anxious (29%)"
return,0,"greedy (40%), confused (24%), anxious (12%)"
protocol,0,"trusting (29%), anxious (18%), greedy (18%)"
most,0,"anxious (29%), confused (29%), greedy (17%)"
checked,0,"greedy (57%), polite (11%), anxious (9%)"
update,0,"trusting (31%), anxious (19%), confused (15%)"
waiver,0,"greedy (50%), aggressive (17%), confused (17%)"
initial,0,"greedy (82%), aggressive (9%), trusting (9%)"
linked,0,"distracted (31%), confused (19%), polite (12%)"
released,0,"trusting (50%), confused (17%), aggressive (11%)"
came,0,"aggressive (62%), confused (25%), skeptical (12%)"
found,0,"confused (55%), trusting (14%), distracted (14%)"
working,0,"aggressive (15%), skeptical (15%), anxious (15%)"
errors,0,"distracted (31%), confused (27%), trusting (21%)"
might,0,"greedy (32%), confused (20%), polite (15%)"
issuing,0,"polite (40%), greedy (20%), skeptical (20%)"
authorize,0,"skeptical (36%), aggressive (18%), trusting (18%)"
automated,0,"skeptical (36%), greedy (27%), polite (18%)"
request,0,"polite (55%), greedy (18%), confused (9%)"
asi,0,"anxious (33%), skeptical (33%), aggressive (17%)"
longer,0,"anxious (26%), greedy (21%), confused (15%)"
threats,0,"aggressive (42%), skeptical (14%), greedy (12%)"
fool,0,aggressive (100%)
associated,0,"confused (21%), greedy (18%), polite (14%)"
employee,0,"anxious (43%), skeptical (43%), confused (14%)"
guess,0,"anxious (56%), trusting (35%), confused (4%)"
stolen,0,"anxious (45%), confused (24%), trusting (12%)"
kept,0,"greedy (45%), anxious (23%), confused (18%)"
rather,0,"polite (34%), skeptical (15%), aggressive (14%)"
choice,0,"aggressive (27%), polite (18%), anxious (14%)"
incorrectly,0,"confused (30%), anxious (20%), polite (20%)"
hear,0,"greedy (43%), polite (13%), confused (12%)"
game,0,"aggressive (57%), greedy (43%)"
registered,0,"anxious (35%), skeptical (28%), aggressive (11%)"
bureau,0,"skeptical (31%), anxious (20%), confused (17%)"
registration,0,"anxious (45%), skeptical (29%), aggressive (10%)"
physical,0,"polite (38%), skeptical (25%), anxious (12%)"
history,0,"polite (29%), skeptical (29%), aggressive (14%)"
after,0,"greedy (34%), anxious (24%), trusting (20%)"
catch,0,"aggressive (40%), greedy (32%), anxious (20%)"
confusion,0,"confused (45%), polite (20%), skeptical (13%)"
purposes,0,"distracted (29%), confused (21%), trusting (21%)"
isn,0,"skeptical (45%), aggressive (20%), confused (18%)"
first,0,"greedy (39%), confused (22%), anxious (10%)"
place,0,"greedy (30%), confused (22%), aggressive (14%)"
updated,0,"trusting (37%), greedy (30%), confused (7%)"
regularly,0,"polite (29%), aggressive (14%), anxious (14%)"
figure,0,"confused (33%), distracted (33%), anxious (22%)"
point,0,"anxious (32%), skeptical (32%), greedy (23%)"
utility,0,"polite (36%), skeptical (29%), confused (21%)"
bill,0,"confused (50%), anxious (12%), polite (12%)"
wrong,0,"anxious (62%), confused (19%), polite (11%)"
news,0,"greedy (62%), anxious (15%), trusting (15%)"
fault,0,"anxious (71%), confused (29%)"
approved,0,"anxious (42%), confused (42%), polite (8%)"
deposit,0,"greedy (33%), confused (23%), anxious (12%)"
falling,0,"aggressive (38%), skeptical (34%), distracted (17%)"
upset,0,"aggressive (50%), anxious (50%)"
cancel,0,"anxious (30%), confused (25%), distracted (15%)"
dime,0,"aggressive (67%), greedy (22%), anxious (11%)"
past,0,"skeptical (29%), polite (29%), aggressive (14%)"
arrive,0,"greedy (33%), anxious (17%), confused (17%)"
plus,0,"greedy (74%), anxious (12%), confused (12%)"
expedited,0,"greedy (79%), trusting (7%), polite (5%)"
option,0,"greedy (33%), confused (22%), anxious (19%)"
whole,0,"anxious (34%), confused (34%), greedy (15%)"
forget,0,"trusting (35%), anxious (31%), confused (14%)"
scared,0,"anxious (87%), confused (12%), aggressive (1%)"
later,0,"anxious (32%), greedy (25%), distracted (21%)"
different,0,"polite (33%), anxious (22%), greedy (22%)"
deposited,0,"greedy (37%), trusting (29%), confused (14%)"
fears,0,anxious (100%)
official,0,"polite (25%), skeptical (25%), confused (20%)"
blaming,0,"anxious (82%), confused (18%)"
spoken,0,"greedy (85%), anxious (10%), confused (2%)"
hanging,0,"anxious (65%), distracted (19%), skeptical (11%)"
promising,0,"anxious (62%), greedy (25%), skeptical (12%)"
require,0,"anxious (24%), confused (24%), trusting (24%)"
james,0,"polite (33%), greedy (20%), confused (14%)"
certain,0,"greedy (33%), anxious (28%), confused (17%)"
heard,0,"skeptical (35%), greedy (26%), anxious (25%)"
scammed,0,"anxious (67%), greedy (20%), confused (13%)"
birthdate,0,"confused (33%), distracted (33%), aggressive (22%)"
holder,0,"greedy (40%), anxious (20%), distracted (20%)"
verified,0,"trusting (29%), confused (24%), distracted (17%)"
supposed,0,"confused (60%), anxious (10%), skeptical (10%)"
confidential,0,"greedy (33%), confused (30%), trusting (17%)"
three,0,"greedy (70%), confused (17%), aggressive (3%)"
claims,0,"confused (30%), polite (23%), anxious (20%)"
removed,0,"trusting (29%), confused (24%), greedy (18%)"
skeptical,0,"polite (83%), aggressive (17%)"
leaving,0,"anxious (25%), aggressive (21%), polite (17%)"
table,0,"greedy (33%), aggressive (22%), anxious (11%)"
talking,0,"greedy (39%), confused (31%), aggressive (16%)"
same,0,"anxious (30%), greedy (20%), confused (14%)"
measure,0,"trusting (20%), distracted (17%), aggressive (14%)"
cannot,0,"aggressive (50%), skeptical (17%), confused (17%)"
hesitation,0,"anxious (37%), confused (24%), aggressive (10%)"
alternative,0,"greedy (30%), polite (28%), anxious (17%)"
ease,0,"anxious (61%), confused (13%), greedy (12%)"
head,0,"greedy (80%), anxious (20%)"
her,0,"anxious (38%), greedy (25%), confused (22%)"
exactly,0,"confused (31%), greedy (24%), anxious (20%)"
onto,0,"confused (40%), greedy (30%), anxious (10%)"
calm,0,"confused (46%), anxious (38%), aggressive (8%)"
listen,0,"aggressive (45%), anxious (15%), greedy (15%)"
globaltech,0,"skeptical (50%), anxious (25%), trusting (25%)"
bad,0,"anxious (50%), confused (26%), trusting (18%)"
trusted,0,"confused (30%), greedy (21%), anxious (12%)"
meeting,0,"distracted (72%), greedy (26%), anxious (1%)"
large,0,"confused (36%), anxious (29%), distracted (14%)"
handle,0,"greedy (28%), anxious (20%), polite (20%)"
convenience,0,"greedy (36%), confused (18%), distracted (14%)"
reassure,0,"anxious (44%), confused (33%), polite (9%)"
limited,0,"greedy (48%), confused (19%), anxious (11%)"
window,0,"confused (61%), trusting (20%), greedy (7%)"
closed,0,"trusting (40%), anxious (20%), skeptical (20%)"
decide,0,"anxious (57%), confused (14%), greedy (14%)"
because,0,"greedy (34%), anxious (20%), skeptical (14%)"
instead,0,"greedy (39%), anxious (23%), confused (15%)"
urgency,0,"polite (31%), greedy (24%), distracted (14%)"
avoid,0,"confused (23%), aggressive (17%), anxious (12%)"
delays,0,"anxious (29%), polite (29%), greedy (29%)"
protected,0,"greedy (33%), anxious (26%), confused (19%)"
deducted,0,"confused (33%), trusting (29%), distracted (14%)"
remind,0,"greedy (40%), anxious (30%), confused (10%)"
gesture,0,"greedy (83%), anxious (17%)"
goodwill,0,"greedy (80%), anxious (20%)"
nothing,0,"anxious (39%), confused (22%), aggressive (17%)"
gain,0,"anxious (67%), confused (17%), aggressive (17%)"
husband,0,"anxious (81%), aggressive (10%), trusting (10%)"
always,0,"greedy (34%), confused (32%), anxious (13%)"
idea,0,"trusting (36%), greedy (17%), anxious (15%)"
second,0,"confused (47%), trusting (20%), aggressive (13%)"
together,0,"confused (39%), anxious (34%), greedy (12%)"
nervous,0,"anxious (92%), confused (8%)"
looks,0,"trusting (39%), greedy (21%), distracted (15%)"
original,0,"greedy (30%), anxious (20%), trusting (20%)"
set,0,"greedy (51%), trusting (24%), confused (16%)"
explaining,0,"anxious (80%), polite (20%)"
than,0,"greedy (46%), anxious (14%), confused (10%)"
crazy,0,"anxious (38%), distracted (38%), greedy (25%)"
either,0,"anxious (40%), polite (25%), greedy (15%)"
simply,0,"confused (42%), anxious (25%), greedy (17%)"
problems,0,"anxious (56%), trusting (19%), greedy (12%)"
flags,0,"trusting (50%), skeptical (20%), anxious (10%)"
trouble,0,"anxious (53%), greedy (23%), confused (19%)"
affect,0,"anxious (43%), aggressive (29%), confused (14%)"
score,0,"anxious (61%), aggressive (11%), greedy (11%)"
absolutely,0,"greedy (72%), confused (15%), anxious (10%)"
scams,0,"skeptical (41%), anxious (36%), confused (9%)"
scammer,0,"aggressive (79%), skeptical (12%), anxious (8%)"
visiting,0,"polite (46%), skeptical (31%), aggressive (8%)"
gov,0,"aggressive (29%), confused (29%), anxious (14%)"
government,0,"confused (41%), anxious (25%), skeptical (16%)"
affiliated,0,"aggressive (27%), polite (23%), skeptical (19%)"
agency,0,"confused (32%), skeptical (32%), aggressive (18%)"
purpose,0,"greedy (33%), aggressive (17%), confused (17%)"
citizens,0,"confused (30%), anxious (20%), greedy (20%)"
rightful,0,"aggressive (38%), distracted (25%), skeptical (25%)"
refunds,0,"confused (29%), skeptical (25%), anxious (15%)"
overpaying,0,"confused (71%), aggressive (14%), skeptical (14%)"
helping,0,"confused (44%), trusting (26%), anxious (12%)"
amicably,0,"anxious (29%), aggressive (29%), confused (29%)"
authorities,0,"anxious (42%), aggressive (21%), polite (11%)"
feels,0,"anxious (88%), trusting (12%)"
little,0,"greedy (46%), confused (41%), anxious (8%)"
charge,0,"greedy (26%), trusting (18%), confused (15%)"
paying,0,"distracted (42%), greedy (27%), confused (9%)"
hasty,0,"anxious (50%), confused (17%), greedy (17%)"
cause,0,"anxious (30%), greedy (12%), aggressive (11%)"
unnecessary,0,"greedy (40%), polite (40%), anxious (20%)"
losing,0,"anxious (33%), confused (14%), greedy (14%)"
altogether,0,"greedy (62%), anxious (25%), confused (12%)"
conversation,0,"polite (38%), greedy (18%), aggressive (18%)"
thought,0,"confused (47%), distracted (25%), anxious (11%)"
paid,0,"greedy (30%), confused (25%), trusting (17%)"
overcharge,0,"anxious (43%), greedy (29%), confused (14%)"
encrypted,0,"greedy (28%), anxious (23%), confused (23%)"
another,0,"greedy (31%), polite (23%), anxious (15%)"
long,0,"anxious (33%), confused (21%), greedy (18%)"
fake,0,"anxious (50%), skeptical (27%), aggressive (14%)"
unsure,0,"anxious (48%), confused (28%), skeptical (11%)"
scammers,0,"anxious (33%), confused (33%), greedy (20%)"
refunded,0,"greedy (64%), anxious (18%), confused (9%)"
along,0,"greedy (41%), anxious (12%), aggressive (12%)"
correcting,0,"confused (50%), anxious (33%), polite (17%)"
transferred,0,"anxious (33%), polite (22%), confused (11%)"
reviewed,0,"anxious (50%), confused (33%), greedy (17%)"
assurance,0,"greedy (67%), anxious (17%), polite (6%)"
track,0,"greedy (76%), anxious (10%), confused (8%)"
valid,0,"greedy (61%), anxious (14%), confused (11%)"
worried,0,"anxious (50%), confused (18%), trusting (18%)"
lines,0,"greedy (67%), anxious (13%), confused (7%)"
timeframe,0,"greedy (47%), confused (27%), polite (20%)"
makes,0,"aggressive (36%), confused (15%), skeptical (13%)"
deduct,0,"distracted (47%), trusting (16%), greedy (16%)"
fishy,0,"distracted (33%), greedy (25%), confused (21%)"
own,0,"polite (24%), confused (22%), distracted (20%)"
warn,0,"skeptical (27%), polite (20%), aggressive (16%)"
federal,0,"anxious (26%), skeptical (25%), confused (16%)"
tax,0,"greedy (67%), skeptical (19%), aggressive (10%)"
regarding,0,"greedy (38%), polite (15%), aggressive (10%)"
owed,0,"anxious (23%), skeptical (23%), aggressive (14%)"
irs,0,"greedy (40%), aggressive (20%), skeptical (20%)"
taxes,0,"confused (43%), greedy (29%), aggressive (19%)"
stop,0,"aggressive (64%), greedy (18%), anxious (11%)"
confused,0,"confused (96%), anxious (4%)"
claiming,0,"confused (22%), skeptical (19%), greedy (16%)"
concerned,0,"greedy (38%), confused (14%), polite (14%)"
excess,0,"confused (44%), skeptical (22%), anxious (11%)"
opened,0,"anxious (33%), trusting (33%), confused (20%)"
february,0,"confused (60%), anxious (20%), polite (20%)"
current,0,"trusting (41%), greedy (39%), anxious (7%)"
expiration,0,"trusting (59%), greedy (29%), confused (5%)"
looking,0,"greedy (52%), confused (15%), anxious (13%)"
double,0,"greedy (50%), anxious (33%), trusting (17%)"
indeed,0,"confused (38%), trusting (24%), greedy (15%)"
fraudulently,0,"anxious (36%), aggressive (18%), trusting (18%)"
scary,0,"confused (57%), anxious (36%), trusting (7%)"
temporary,0,"trusting (54%), anxious (23%), confused (8%)"
owe,0,"anxious (43%), confused (29%), distracted (14%)"
regular,0,"greedy (67%), polite (22%), anxious (11%)"
identified,0,"confused (30%), trusting (30%), anxious (10%)"
agent,0,"greedy (25%), trusting (18%), anxious (14%)"
accommodate,0,"greedy (64%), polite (27%), anxious (9%)"
anywhere,0,"anxious (29%), confused (29%), greedy (29%)"
explained,0,"confused (62%), anxious (12%), greedy (12%)"
provided,0,"greedy (34%), skeptical (23%), polite (14%)"
peace,0,"anxious (35%), greedy (30%), confused (22%)"
big,0,"anxious (28%), skeptical (20%), confused (13%)"
verifying,0,"polite (50%), anxious (16%), confused (13%)"
release,0,"confused (27%), distracted (24%), trusting (21%)"
office,0,"anxious (25%), polite (22%), skeptical (17%)"
worse,0,"anxious (61%), confused (14%), distracted (12%)"
flag,0,"confused (54%), anxious (38%), skeptical (8%)"
face,0,"anxious (26%), confused (24%), greedy (14%)"
penalties,0,"anxious (35%), greedy (35%), distracted (12%)"
fees,0,"greedy (51%), confused (19%), distracted (12%)"
fear,0,anxious (100%)
best,0,"polite (51%), greedy (32%), anxious (9%)"
mean,0,"confused (47%), greedy (33%), anxious (16%)"
dealing,0,"greedy (35%), confused (17%), anxious (13%)"
wife,0,"anxious (75%), greedy (25%)"
delay,0,"confused (19%), polite (18%), anxious (14%)"
easy,0,"confused (38%), anxious (21%), greedy (21%)"
mentioned,0,"greedy (58%), anxious (16%), polite (13%)"
types,0,"anxious (25%), trusting (25%), confused (19%)"
checking,0,"anxious (29%), skeptical (29%), trusting (29%)"
without,0,"polite (30%), confused (27%), anxious (18%)"
urgent,0,"distracted (20%), skeptical (19%), aggressive (15%)"
computers,0,"confused (57%), anxious (32%), greedy (4%)"
entire,0,"anxious (28%), confused (28%), greedy (26%)"
mess,0,"confused (91%), anxious (9%)"
guiding,0,"confused (60%), anxious (35%), trusting (5%)"
detect,0,"skeptical (39%), anxious (33%), aggressive (6%)"
alone,0,"confused (45%), anxious (36%), aggressive (18%)"
word,0,"greedy (33%), anxious (25%), aggressive (25%)"
matters,0,"anxious (40%), confused (20%), greedy (20%)"
callback,0,"skeptical (36%), anxious (30%), polite (9%)"
